	Rank	Link	Title	Sentiment_Title	Labels	subjectivity_label	subjectivity_text	Is_Money	Name
0	122	https://www.dailymail.co.uk/news/article-1024541/Olympic-promise-free-swimming-lessons-2012.html	Olympic promise of free swimming lessons by 2012	Pos	Pos	objective	objective: Olympic promise of free swimming lessons by 2012	O	Daily_Mail
1	57	https://www.dailymail.co.uk/news/article-1036373/Abandoned-derelict-covered-graffiti-rubbish-What-left-Athens-9billion-Olympic-glory.html	Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'	Neg	Neg	objective	objective: Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'	Money	Daily_Mail
2	108	https://www.dailymail.co.uk/news/article-1048614/The-countdown-London-2012-begins-thousands-celebrate-handover-Olympic-flag-Britain.html	The countdown to London 2012 begins as thousands celebrate handover of Olympic flag to Britain	Pos	Pos	objective	objective: The countdown to London 2012 begins as thousands celebrate handover of Olympic flag to Britain	O	Daily_Mail
3	86	https://www.dailymail.co.uk/news/article-1049276/Boris-Johnson-promises-tens-millions-realise-2012-vision-British-Olympic-legacy-2012.html	Boris Johnson promises 'tens of millions' to realise 2012 vision of a British Olympic legacy in 2012	Pos	Pos	objective	objective: Boris Johnson promises 'tens of millions' to realise 2012 vision of a British Olympic legacy in 2012	O	Daily_Mail
4	143	https://www.dailymail.co.uk/sport/football/article-1052688/Spurs-West-Ham-bid-new-homes-2012-venues-grabs.html	Spurs and West Ham bid for new homes as 2012 venues up for grabs	other	Pos	objective	objective: Spurs and West Ham bid for new homes as 2012 venues up for grabs	O	Daily_Mail
5	238	https://www.dailymail.co.uk/news/article-1078120/Ministers-vow-raise-bar-schoolchildren-hours-sport-week-2012-Olympics.html	Ministers vow to raise the bar so schoolchildren do five hours of sport a week before 2012 Olympics	Pos	Pos	objective	objective: Ministers vow to raise the bar so schoolchildren do five hours of sport a week before 2012 Olympics	O	Daily_Mail
6	96	https://www.dailymail.co.uk/news/article-1085444/20-000-migrant-workers-register-London-Olympics-jobs--despite-pledge-provide-work-local-people.html	20,000 migrant workers register for London Olympics jobs - despite pledge to provide work for local people	Neg	Neu	objective	objective: 20,000 migrant workers register for London Olympics jobs - despite pledge to provide work for local people	O	Daily_Mail
7	175	https://www.dailymail.co.uk/news/article-1091043/Another-9-3bn-drain-Ministers-knew-2012-Olympics-bring-little-benefit-Britain.html	Another £9.3bn down the drain? Ministers 'knew 2012 Olympics will bring little benefit to Britain'	Neg	Neg	subjective,objective	subjective: Another £9.3bn down the drain?,objective: Ministers 'knew 2012 Olympics will bring little benefit to Britain'	Money	Daily_Mail
8	52	https://www.dailymail.co.uk/news/article-1160179/Where-Olympic-legacy-Zara-Phillips-slams-decision-build-temporary-equestrian-event-centre-Greenwich.html	Where is the Olympic legacy?' Zara Phillips slams decision to build temporary equestrian event centre in Greenwich	other	Neg	objective	objective: Where is the Olympic legacy?' Zara Phillips slams decision to build temporary equestrian event centre in Greenwich	O	Daily_Mail
9	207	https://www.dailymail.co.uk/news/article-1166118/Over-60s-16s-swim-free-council-pools-new-Olympic-drive.html	Over 60s and under 16s to swim for free at council pools in new Olympic drive	other	Pos	objective	objective: Over 60s and under 16s to swim for free at council pools in new Olympic drive	O	Daily_Mail
10	110	https://www.dailymail.co.uk/news/article-1195350/Olympic-chiefs-suspended-100m-blunder.html	Olympic chiefs suspended over £100m blunder	Neg	Neg	objective	objective: Olympic chiefs suspended over £100m blunder	Money	Daily_Mail
11	160	https://www.dailymail.co.uk/debate/article-1198722/MARTIN-SAMUEL-On-marks-2012-mowing-race.html	MARTIN SAMUEL: On your marks for the 2012 mowing race	Pos	Neu	subjective	subjective: MARTIN SAMUEL: On your marks for the 2012 mowing race	O	Daily_Mail
12	161	https://www.dailymail.co.uk/sport/article-1226020/PATRICK-COLLINS-Elizabeth-Park-I-m-sorry-short-national-disgrace.html	PATRICK COLLINS: Elizabeth Park? I¿m sorry, this is nothing short of a national disgrace	Neg	Neg	subjective,objective	subjective: I¿m sorry, this is nothing short of a national disgrace,objective: PATRICK COLLINS: Elizabeth Park?	O	Daily_Mail
13	220	https://www.dailymail.co.uk/sport/article-1252770/Martin-Samuel-Tessa-Jowell-deserves-Olympic-medal-utter-madness.html	Martin Samuel: Tessa Jowell deserves an Olympic medal in utter madness	Pos	Neg	objective	objective: Martin Samuel: Tessa Jowell deserves an Olympic medal in utter madness	O	Daily_Mail
14	169	https://www.dailymail.co.uk/sport/article-1263064/THAT-WAS-THE-SPORTING-WEEK-He-laughs--A-look-stories-duped-public-April-Fools-Day.html	THAT WAS THE SPORTING WEEK: He who laughs last... A look at the stories that duped the public on April Fool's Day	Pos	Neu	subjective	subjective: THAT WAS THE SPORTING WEEK: He who laughs last. A look at the stories that duped the public on April Fool's Day	O	Daily_Mail
15	115	https://www.dailymail.co.uk/sport/football/article-1319537/West-Ham-boosted-Olympic-Stadium-battle-Tottenham-UK-Athletics-bid.html	West Ham boosted in Olympic Stadium battle with Tottenham as UK Athletics back bid	other	Pos	objective	objective: West Ham boosted in Olympic Stadium battle with Tottenham as UK Athletics back bid	O	Daily_Mail
16	123	https://www.dailymail.co.uk/sport/football/article-1346217/Moving-Tottenham-east-London-rip-heart-soul-clubs-community.html	Moving Tottenham to east London would rip 'the heart and soul' out of the club's community	Neg	Neg	objective	objective: Moving Tottenham to east London would rip 'the heart and soul' out of the club's community	O	Daily_Mail
17	56	https://www.dailymail.co.uk/sport/article-1347366/Des-Kelly-Spurs-vandals-musnt-wreck-Olympic-legacy.html	Des Kelly: Spurs vandals musn't wreck Olympic legacy	Neg	Neg	objective	objective: Des Kelly: Spurs vandals musn't wreck Olympic legacy	O	Daily_Mail
18	112	https://www.dailymail.co.uk/sport/football/article-1347541/Tottenham-West-Ham-fight-2012-venue--Olympic-stadium-end-foreign-hands.html	Tottenham and West Ham fight for the 2012 venue... will the Olympic stadium end up in foreign hands?	Neg	Neg	objective	objective: Tottenham and West Ham fight for the 2012 venue. will the Olympic stadium end up in foreign hands?	O	Daily_Mail
19	82	https://www.dailymail.co.uk/sport/football/article-1347662/Spurs-fans-protest-Olympic-Stadium-advisor-voices-white-elephant-fears.html	Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears	Neg	Neg	objective	objective: Spurs fans protest over Olympic Stadium move but advisor voices 'white elephant' fears	O	Daily_Mail
20	84	https://www.dailymail.co.uk/sport/football/article-1349163/West-Hams-plans-Olympic-Stadium-turn-graveyard-says-Harry-Redknapp.html	West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp	Neg	Neg	objective	objective: West Ham's plans for Olympic Stadium would turn it into graveyard says Harry Redknapp	O	Daily_Mail
21	141	https://www.dailymail.co.uk/sport/olympics/article-1349289/Tessa-Sanderson-warns-Olympic-Stadium-chiefs-Ill-legal-action-unless-let-vote-West-Ham-Spurs.html	Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs	other	Neg	objective	objective: Tessa Sanderson warns Olympic Stadium chiefs: I'll take legal action unless you let me vote for West Ham or Spurs	O	Daily_Mail
22	50	https://www.dailymail.co.uk/sport/article-1349472/Charles-Sale-2012-Olympic-Stadium-legacy-expert-left-years-ago.html	Charles Sale: 2012 Olympic Stadium legacy expert left two years ago	Pos	Neu	objective	objective: Charles Sale: 2012 Olympic Stadium legacy expert left two years ago	O	Daily_Mail
23	39	https://www.dailymail.co.uk/sport/olympics/article-1354071/Tottenhams-hopes-securing-Londons-Olympic-Stadium-2012-rise-research-exposes-legacy-myth.html	Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth	other	Neg	objective	objective: Tottenham's hopes of securing London's Olympic Stadium in 2012 rise as research exposes legacy myth	O	Daily_Mail
