Rank,Date,Link,Title,Labels,,,,,,
122,06/06/2008,https://www.dailymail.co.uk/news/article-1024541/Olympic-promise-free-swimming-lessons-2012.html,Olympic promise of free swimming lessons by 2012,Positive,,,,,,
57,18/07/2008,https://www.dailymail.co.uk/news/article-1036373/Abandoned-derelict-covered-graffiti-rubbish-What-left-Athens-9billion-Olympic-glory.html,"Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'",Negative,,,,,,
108,24/08/2008,https://www.dailymail.co.uk/news/article-1048614/The-countdown-London-2012-begins-thousands-celebrate-handover-Olympic-flag-Britain.html,The countdown to London 2012 begins as thousands celebrate handover of Olympic flag to Britain,Positive,,,,,,
86,26/08/2008,https://www.dailymail.co.uk/news/article-1049276/Boris-Johnson-promises-tens-millions-realise-2012-vision-British-Olympic-legacy-2012.html,Boris Johnson promises 'tens of millions' to realise 2012 vision of a British Olympic legacy in 2012,Positive,,,,,,
143,05/09/2008,https://www.dailymail.co.uk/sport/football/article-1052688/Spurs-West-Ham-bid-new-homes-2012-venues-grabs.html,Spurs and West Ham bid for new homes as 2012 venues up for grabs,Positive,,,,,,
238,16/10/2008,https://www.dailymail.co.uk/news/article-1078120/Ministers-vow-raise-bar-schoolchildren-hours-sport-week-2012-Olympics.html,Ministers vow to raise the bar so schoolchildren do five hours of sport a week before 2012 Olympics,Positive,,,,,,
96,13/11/2008,https://www.dailymail.co.uk/news/article-1085444/20-000-migrant-workers-register-London-Olympics-jobs--despite-pledge-provide-work-local-people.html,"20,000 migrant workers register for London Olympics jobs - despite pledge to provide work for local people",Neutral,,,,,,
175,03/12/2008,https://www.dailymail.co.uk/news/article-1091043/Another-9-3bn-drain-Ministers-knew-2012-Olympics-bring-little-benefit-Britain.html,Another £9.3bn down the drain? Ministers 'knew 2012 Olympics will bring little benefit to Britain',Negative,,,,,,
52,07/03/2009,https://www.dailymail.co.uk/news/article-1160179/Where-Olympic-legacy-Zara-Phillips-slams-decision-build-temporary-equestrian-event-centre-Greenwich.html,Where is the Olympic legacy?' Zara Phillips slams decision to build temporary equestrian event centre in Greenwich,Negative,,,,,,
207,31/03/2009,https://www.dailymail.co.uk/news/article-1166118/Over-60s-16s-swim-free-council-pools-new-Olympic-drive.html,Over 60s and under 16s to swim for free at council pools in new Olympic drive,Positive,,,,,,
110,25/06/2009,https://www.dailymail.co.uk/news/article-1195350/Olympic-chiefs-suspended-100m-blunder.html,Olympic chiefs suspended over £100m blunder,Negative,,,,,,
160,10/07/2009,https://www.dailymail.co.uk/debate/article-1198722/MARTIN-SAMUEL-On-marks-2012-mowing-race.html,MARTIN SAMUEL: On your marks for the 2012 mowing race,Neutral,,,,,,
