Rank,Date,Link,Title,Labels,subjectivity_label,subjectivity_text,entities,Is_Money
122,6/6/2008,https://www.dailymail.co.uk/news/article-1024541/Olympic-promise-free-swimming-lessons-2012.html,Olympic promise of free swimming lessons by 2012,Positive,objective,objective: Olympic promise of free swimming lessons by 2012,"[{""text"": ""Olympic"", ""type"": ""NORP"", ""start"": 0, ""end"": 7, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 44, ""end"": 48, ""cms"": null}]",O
57,18/07/2008,https://www.dailymail.co.uk/news/article-1036373/Abandoned-derelict-covered-graffiti-rubbish-What-left-Athens-9billion-Olympic-glory.html,"Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'",Negative,objective,"objective: Abandoned, derelict, covered in graffiti and rubbish: What is left of Athens' £9billion Olympic 'glory'","[{""text"": ""Athens"", ""type"": ""GPE"", ""start"": 70, ""end"": 76, ""cms"": null}, {""text"": ""\u00a39billion Olympic 'glory"", ""type"": ""MONEY"", ""start"": 78, ""end"": 102, ""cms"": null}]",Money
108,24/08/2008,https://www.dailymail.co.uk/news/article-1048614/The-countdown-London-2012-begins-thousands-celebrate-handover-Olympic-flag-Britain.html,The countdown to London 2012 begins as thousands celebrate handover of Olympic flag to Britain,Positive,objective,objective: The countdown to London 2012 begins as thousands celebrate handover of Olympic flag to Britain,"[{""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 17, ""end"": 28, ""cms"": null}, {""text"": ""thousands"", ""type"": ""CARDINAL"", ""start"": 39, ""end"": 48, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 87, ""end"": 94, ""cms"": null}]",O
86,26/08/2008,https://www.dailymail.co.uk/news/article-1049276/Boris-Johnson-promises-tens-millions-realise-2012-vision-British-Olympic-legacy-2012.html,Boris Johnson promises 'tens of millions' to realise 2012 vision of a British Olympic legacy in 2012,Positive,objective,objective: Boris Johnson promises 'tens of millions' to realise 2012 vision of a British Olympic legacy in 2012,"[{""text"": ""Boris Johnson"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""tens of millions"", ""type"": ""CARDINAL"", ""start"": 24, ""end"": 40, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 53, ""end"": 57, ""cms"": null}, {""text"": ""British"", ""type"": ""NORP"", ""start"": 70, ""end"": 77, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 96, ""end"": 100, ""cms"": null}]",O
143,5/9/2008,https://www.dailymail.co.uk/sport/football/article-1052688/Spurs-West-Ham-bid-new-homes-2012-venues-grabs.html,Spurs and West Ham bid for new homes as 2012 venues up for grabs,Positive,objective,objective: Spurs and West Ham bid for new homes as 2012 venues up for grabs,"[{""text"": ""Spurs"", ""type"": ""ORG"", ""start"": 0, ""end"": 5, ""cms"": null}, {""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 10, ""end"": 18, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 40, ""end"": 44, ""cms"": null}]",O
238,16/10/2008,https://www.dailymail.co.uk/news/article-1078120/Ministers-vow-raise-bar-schoolchildren-hours-sport-week-2012-Olympics.html,Ministers vow to raise the bar so schoolchildren do five hours of sport a week before 2012 Olympics,Positive,objective,objective: Ministers vow to raise the bar so schoolchildren do five hours of sport a week before 2012 Olympics,"[{""text"": ""five hours"", ""type"": ""TIME"", ""start"": 52, ""end"": 62, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 86, ""end"": 90, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 91, ""end"": 99, ""cms"": null}]",O
96,13/11/2008,https://www.dailymail.co.uk/news/article-1085444/20-000-migrant-workers-register-London-Olympics-jobs--despite-pledge-provide-work-local-people.html,"20,000 migrant workers register for London Olympics jobs - despite pledge to provide work for local people",Neutral,objective,"objective: 20,000 migrant workers register for London Olympics jobs - despite pledge to provide work for local people","[{""text"": ""20,000"", ""type"": ""CARDINAL"", ""start"": 0, ""end"": 6, ""cms"": null}, {""text"": ""London Olympics"", ""type"": ""EVENT"", ""start"": 36, ""end"": 51, ""cms"": null}]",O
175,3/12/2008,https://www.dailymail.co.uk/news/article-1091043/Another-9-3bn-drain-Ministers-knew-2012-Olympics-bring-little-benefit-Britain.html,Another £9.3bn down the drain? Ministers 'knew 2012 Olympics will bring little benefit to Britain',Negative,"subjective,objective","subjective: Another £9.3bn down the drain?,objective: Ministers 'knew 2012 Olympics will bring little benefit to Britain'","[{""text"": ""Another \u00a39.3bn down the"", ""type"": ""MONEY"", ""start"": 0, ""end"": 23, ""cms"": null}, {""text"": ""2012 Olympics"", ""type"": ""EVENT"", ""start"": 47, ""end"": 60, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 90, ""end"": 97, ""cms"": null}]",Money
52,7/3/2009,https://www.dailymail.co.uk/news/article-1160179/Where-Olympic-legacy-Zara-Phillips-slams-decision-build-temporary-equestrian-event-centre-Greenwich.html,Where is the Olympic legacy?' Zara Phillips slams decision to build temporary equestrian event centre in Greenwich,Negative,objective,objective: Where is the Olympic legacy?' Zara Phillips slams decision to build temporary equestrian event centre in Greenwich,"[{""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 13, ""end"": 20, ""cms"": null}, {""text"": ""Zara Phillips"", ""type"": ""PERSON"", ""start"": 30, ""end"": 43, ""cms"": null}, {""text"": ""Greenwich"", ""type"": ""LOC"", ""start"": 105, ""end"": 114, ""cms"": null}]",O
207,31/03/2009,https://www.dailymail.co.uk/news/article-1166118/Over-60s-16s-swim-free-council-pools-new-Olympic-drive.html,Over 60s and under 16s to swim for free at council pools in new Olympic drive,Positive,objective,objective: Over 60s and under 16s to swim for free at council pools in new Olympic drive,"[{""text"": ""under 16s"", ""type"": ""DATE"", ""start"": 13, ""end"": 22, ""cms"": null}]",O
110,25/06/2009,https://www.dailymail.co.uk/news/article-1195350/Olympic-chiefs-suspended-100m-blunder.html,Olympic chiefs suspended over £100m blunder,Negative,objective,objective: Olympic chiefs suspended over £100m blunder,"[{""text"": ""Olympic"", ""type"": ""ORG"", ""start"": 0, ""end"": 7, ""cms"": null}, {""text"": ""100"", ""type"": ""MONEY"", ""start"": 31, ""end"": 34, ""cms"": null}, {""text"": ""m"", ""type"": ""MONEY"", ""start"": 34, ""end"": 35, ""cms"": null}]",Money
160,10/7/2009,https://www.dailymail.co.uk/debate/article-1198722/MARTIN-SAMUEL-On-marks-2012-mowing-race.html,MARTIN SAMUEL: On your marks for the 2012 mowing race,Neutral,subjective,subjective: MARTIN SAMUEL: On your marks for the 2012 mowing race,"[{""text"": ""MARTIN SAMUEL"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 37, ""end"": 41, ""cms"": null}]",O
161,8/11/2009,https://www.dailymail.co.uk/sport/article-1226020/PATRICK-COLLINS-Elizabeth-Park-I-m-sorry-short-national-disgrace.html,"PATRICK COLLINS: Elizabeth Park? I¿m sorry, this is nothing short of a national disgrace",Negative,"subjective,objective","subjective: I¿m sorry, this is nothing short of a national disgrace,objective: PATRICK COLLINS: Elizabeth Park?","[{""text"": ""PATRICK COLLINS:"", ""type"": ""PERSON"", ""start"": 0, ""end"": 16, ""cms"": null}, {""text"": ""Elizabeth Park"", ""type"": ""PERSON"", ""start"": 17, ""end"": 31, ""cms"": null}]",O
220,22/02/2010,https://www.dailymail.co.uk/sport/article-1252770/Martin-Samuel-Tessa-Jowell-deserves-Olympic-medal-utter-madness.html,Martin Samuel: Tessa Jowell deserves an Olympic medal in utter madness,Negative,objective,objective: Martin Samuel: Tessa Jowell deserves an Olympic medal in utter madness,"[{""text"": ""Martin Samuel"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""Tessa Jowell"", ""type"": ""PERSON"", ""start"": 15, ""end"": 27, ""cms"": null}]",O
169,2/4/2010,https://www.dailymail.co.uk/sport/article-1263064/THAT-WAS-THE-SPORTING-WEEK-He-laughs--A-look-stories-duped-public-April-Fools-Day.html,THAT WAS THE SPORTING WEEK: He who laughs last... A look at the stories that duped the public on April Fool's Day,Neutral,subjective,subjective: THAT WAS THE SPORTING WEEK: He who laughs last. A look at the stories that duped the public on April Fool's Day,"[{""text"": ""THE SPORTING WEEK"", ""type"": ""DATE"", ""start"": 9, ""end"": 26, ""cms"": null}, {""text"": ""April Fool's Day"", ""type"": ""DATE"", ""start"": 97, ""end"": 113, ""cms"": null}]",O
115,11/10/2010,https://www.dailymail.co.uk/sport/football/article-1319537/West-Ham-boosted-Olympic-Stadium-battle-Tottenham-UK-Athletics-bid.html,West Ham boosted in Olympic Stadium battle with Tottenham as UK Athletics back bid,Positive,objective,objective: West Ham boosted in Olympic Stadium battle with Tottenham as UK Athletics back bid,"[{""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 0, ""end"": 8, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 20, ""end"": 35, ""cms"": null}, {""text"": ""Tottenham"", ""type"": ""ORG"", ""start"": 48, ""end"": 57, ""cms"": null}, {""text"": ""UK Athletics"", ""type"": ""ORG"", ""start"": 61, ""end"": 73, ""cms"": null}]",O
123,11/1/2011,https://www.dailymail.co.uk/sport/football/article-1346217/Moving-Tottenham-east-London-rip-heart-soul-clubs-community.html,Moving Tottenham to east London would rip 'the heart and soul' out of the club's community,Negative,objective,objective: Moving Tottenham to east London would rip 'the heart and soul' out of the club's community,"[{""text"": ""Tottenham"", ""type"": ""GPE"", ""start"": 7, ""end"": 16, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 25, ""end"": 31, ""cms"": null}]",O
