Rank,Date,Link,Title,Labels,,,,,,
183,23/10/2009,"https://www.estadao.com.br/noticias/geral,cielo-cobra-minimo-de-estrutura,455173",Cielo cobra mínimo de estrutura,Negative,,,,,,
185,18/06/2011,"https://esportes.estadao.com.br/noticias/geral,meirelles-ganha-embate-politico-com-cabral-e-paes-imp-,734008.amp",Meirelles ganha embate político com Cabral e Paes,Positive,,,,,,
113,23/06/2011,"https://esportes.estadao.com.br/noticias/geral,meirelles-diz-que-pais-aprendeu-com-o-pan-de-2007-no-rio-de-janeiro-imp-,736032",Meirelles diz que País 'aprendeu' com o Pan de 2007 no Rio de Janeiro,Positive,,,,,,
84,09/03/2012,"https://politica.estadao.com.br/noticias/geral,olimpiada-e-desculpa-fantastica-para-mudar-o-rio-diz-prefeito,846160","Olimpíada é 'desculpa fantástica' para mudar o Rio, diz prefeito",Positive,,,,,,
172,03/10/2012,"https://politica.estadao.com.br/noticias/geral,rio-sofre-com-violencia-suborno-favelas-e-maracana-decrepito-diz-jornal-britanico,939529","Rio sofre com 'violência, suborno, favelas e Maracanã decrépito', diz jornal britânico",Negative,,,,,,
85,14/11/2013,"https://esportes.estadao.com.br/noticias/geral,apos-jogos-do-rio-de-2016-arena-de-handebol-vai-virar-quatro-escolas,1096742","Após Jogos do Rio de 2016, Arena de Handebol vai virar quatro escolas",Positive,,,,,,
105,07/02/2014,https://esportes.estadao.com.br/blogs/olimpilulas/rota-de-fuga-no-alemao-vai-virar-legado-olimpico-no-rio/,Rota de fuga no Alemão vai virar legado olímpico no Rio,Positive,,,,,,
79,13/12/2014,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,sonho-do-ouro-olimpico-muda-paisagem-do-rio,1606378",SONHO DO OURO OLÍMPICO MUDA PAISAGEM DO RIO,Positive,,,,,,
132,22/05/2015,https://esportes.estadao.com.br/blogs/olimpilulas/polo-aquatico-brasil-compra-atletas-mas-fecha-piscina/,"Polo aquático: Brasil compra atletas, mas fecha piscina",Negative,,,,,,
197,17/07/2015,https://brasil.estadao.com.br/blogs/vencer-limites/oficina-de-acessiblidade-em-espacos-culturais-recebe-inscricoes/,Oficina de acessibilidade em espaços culturais recebe inscrições,Positive,,,,,,
173,05/08/2015,"https://esportes.estadao.com.br/noticias/geral,dilma-preve-melhor-festa-do-esporte-mundial-nos-jogos-olimpicos-do-rio,1738850",Dilma prevê 'melhor festa do esporte mundial' no Rio em 2016,Positive,,,,,,
155,10/08/2015,"https://esportes.estadao.com.br/noticias/geral,presidente-da-cbvela-defende-baia-de-guanabara-como-local-de-disputa-na-olimpiada,1741503",Presidente da CBVela defende Baía como local de disputa na Olimpíada,Positive,,,,,,
150,25/08/2015,"https://esportes.estadao.com.br/noticias/geral,comite-organizador-do-rio-2016-firma-parceria-com-sesi-sp,1750436",Comitê Organizador do Rio-2016 firma parceria com Sesi-SP,Positive,,,,,,
108,28/10/2015,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,rio-aposta-na-eficiencia-dos-projetos-para-os-jogos-olimpicos,1787122",Rio aposta na eficiência dos projetos para os Jogos Olímpicos,Positive,,,,,,
196,23/12/2015,https://esportes.estadao.com.br/blogs/antero-greco/cccampo-de-golfe-olimpico-empreendimento-imobiliario/,Campo de golfe e valorização imobiliária,Positive,,,,,,
117,18/01/2016,"https://politica.estadao.com.br/noticias/geral,paes-ajuda-aliado--mas-divida-do-rio-aumenta-em-2015,1822418","Paes ajuda aliado, mas dívida do Rio aumenta em 2015",Negative,,,,,,
204,29/02/2016,"https://opiniao.estadao.com.br/noticias/geral,forum-dos-leitores,10000018755",Fórum dos Leitores,Neutral ,,,,,,
203,02/03/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,brasil-anuncia-ao-coi-corte-de-r-900-mil-no-orcamento-dos-jogos,10000019108",Brasil anuncia ao COI corte de R$ 900 mi no orçamento dos Jogos,Negative,,,,,,
166,02/03/2016,"https://www.estadao.com.br/noticias/geral,estado-ganha-6-premios-no-oscar-do-design-grafico,10000019257",‘Estado’ ganha 6 prêmios no ‘Oscar’ do design gráfico,Positive,,,,,,
140,10/03/2016,https://estadodaarte.estadao.com.br/especial-estado-da-arte-nas-eleicoes-municipais-2016/,O Rio retrata o Brasil?,Neutral ,,,,,,
46,14/03/2016,"https://sustentabilidade.estadao.com.br/noticias/geral,fracasso-em-despoluicao-da-baia-de-guanabara-ja-virou-legado-olimpico,10000021251",Fracasso na despoluição da Baía de Guanabara já virou ‘legado olímpico’,Negative,,,,,,
70,24/04/2016,"https://brasil.estadao.com.br/noticias/rio-de-janeiro,problemas-em-obras-ja-ameacam-o-legado-olimpico-da-cidade,10000027731",Problemas em obras já ameaçam o legado olímpico da cidade,Negative,,,,,,
186,29/04/2016,https://politica.estadao.com.br/blogs/fausto-macedo/pf-defesa-e-abin-querem-comite-contra-terrorismo-na-olimpiada/,"PF, Defesa e Abin querem comitê contra terrorismo na Olimpíada",Neutral ,,,,,,
109,21/05/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,martine-e-kahena-mostram-preocupacao-com-legado-olimpico,10000052636",Martine e Kahena mostram preocupação com legado olímpico,Negative,,,,,,
176,22/06/2016,https://politica.estadao.com.br/blogs/neumanne/tacape-em-chamas/,Tacape em chamas,Negative,,,,,,
170,23/06/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,seguranca-da-olimpiada-tera-satelite-israelense-de-alta-precisao,10000058859",Segurança dos Jogos terá satélite israelense de alta precisão,Positive,,,,,,
167,30/06/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,publico-sera-cobaia-diz-especialista,10000059945","‘Público será cobaia', diz especialista sobre o metrô para os Jogos",Negative,,,,,,
157,30/06/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,especial-guia-da-mobilidade-para-a-olimpiada-rio-2016,10000059946",Saiba como está o Rio em relação à mobilidade para os Jogos Olímpicos,Neutral ,,,,,,
99,06/07/2016,https://politica.estadao.com.br/blogs/neumanne/e-tudo-termina-em-vinho/,E tudo termina em vinho…,Neutral ,,,,,,
128,08/07/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,tcu-ve-risco-de-desperdicio-de-recursos-publicos-na-olimpiada,10000061711",TCU vê risco de desperdício de recursos públicos na Olimpíada,Negative,,,,,,
158,08/07/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,brasil-aceitou-pagar-a-conta-dos-jogos-critica-executivo-da-fgv,10000061709","Brasil aceitou pagar a conta dos Jogos', critica executivo da FGV",Negative,,,,,,
151,12/07/2016,https://brasil.estadao.com.br/blogs/tudo-em-debate/eduardo-pereira-paes-o-haussman-da-olimpiada-no-brasil/,"Eduardo ‘Pereira’ Paes, o Haussmann da Olimpíada no Brasil",Neutral ,,,,,,
154,27/07/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,paes-rebate-pesquisa-que-apontou-desconfianca-em-relacao-a-olimpiada,10000065239",Paes rebate pesquisa que apontou desconfiança em relação à Olimpíada,Negative,,,,,,
124,27/07/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,eduardo-paes-afirma-que-reconstrucao-de-ciclovia-nao-sera-apressada,10000065290",Eduardo Paes afirma que reconstrução de ciclovia não será apressada,Neutral ,,,,,,
24,01/08/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,sem-legado-olimpico-ar-do-rio-e-poluido-e-mortal,10000066178","Sem legado olímpico, ar do Rio é poluído e mortal",Negative,,,,,,
139,01/08/2016,https://cultura.estadao.com.br/blogs/marcelo-rubens-paiva/legado-olimpico-vai-alem-do-lucro/,Legado olímpico vai além do lucro,Positive,,,,,,
192,01/08/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,as-coisas-estao-se-encaixando-diz-presidente-do-coi-sobre-a-vila-dos-atletas,10000066221","As coisas estão se encaixando', diz presidente do COI sobre a Vila dos Atletas",Positive,,,,,,
138,04/08/2016,"https://economia.estadao.com.br/noticias/geral,olimpiada-fase-3,10000066859",Olimpíada fase 3,Neutral ,,,,,,
152,05/08/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,manifestantes-se-reunem-em-protesto-contra-os-jogos-na-regiao-do-maracana,10000067226",Manifestantes se reúnem em protesto contra os Jogos na região do Maracanã,Negative,,,,,,
188,06/08/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,deuses-a-favor,10000067358",Deuses a favor,Positive,,,,,,
202,06/08/2016,"https://esportes.estadao.com.br/noticias/jogos-olimpicos,uma-virada-na-expectativa,10000067378",Uma virada na expectativa,Neutral ,,,,,,
