Rank,Date,Link,Title,Labels,,,,,,
97,06/02/2010,https://extra.globo.com/noticias/extra-extra/relator-do-plano-diretor-inclui-legado-olimpico-372052.html,Relator do Plano Diretor inclui legado olímpico,Positive,,,,,,
229,22/06/2011,http://g1.globo.com/brasil/noticia/2011/06/orcamento-olimpico-ja-tem-de-ser-definido-no-rio-diz-ministro-britanico.html,"Orçamento olímpico já tem de ser definido no Rio, diz ministro britânico",Neutral,,,,,,
125,01/08/2011,https://oglobo.globo.com/rio/condominios-despejam-esgoto-irregularmente-na-lagoa-de-jacarepagua-2708646,Condomínios despejam esgoto irregularmente na Lagoa de Jacarepaguá,Negative,,,,,,
59,09/03/2012,http://g1.globo.com/brasil/noticia/2012/03/olimpiada-e-desculpa-fantastica-para-mudar-o-rio-diz-prefeito.html,"Olimpíada é 'desculpa fantástica' para mudar o Rio, diz prefeito",Positive,,,,,,
198,27/04/2012,http://globoesporte.globo.com/olimpiadas/noticia/2012/04/escola-com-nome-de-socrates-fara-parte-do-projeto-de-legado-olimpico.html,Escola com nome de Sócrates fará parte do projeto de legado olímpico,Positive,,,,,,
117,20/09/2012,http://g1.globo.com/rio-de-janeiro/eleicoes/2012/noticia/2012/09/aspasia-camargo-e-entrevistada-pelo-rjtv1.html,Aspásia Camargo é entrevistada pelo RJTV,Neutral,,,,,,
214,29/10/2012,https://oglobo.globo.com/rio/diretor-da-empresa-responsavel-pelo-parque-olimpico-de-2016-diz-que-populacao-carioca-esta-mobilizada-para-os-jogos-6573809,Diretor da empresa responsável pelo Parque Olímpico de 2016 diz que população carioca está mobilizada para os Jogos,Positive,,,,,,
267,02/08/2013,http://g1.globo.com/rio-de-janeiro/noticia/2013/08/eduardo-paes-nao-revela-orcamento-olimpico-e-dispara-contra-fifa.html,Eduardo Paes não revela orçamento olímpico e dispara contra Fifa,Negative,,,,,,
252,15/09/2013,http://globoesporte.globo.com/olimpiadas/noticia/2013/09/palco-do-rock-rio-parque-dos-atletas-e-legado-antecipado-de-2016.html,"Palco do Rock in Rio, Parque dos Atletas é legado 'antecipado' de 2016",Positive,,,,,,
288,25/09/2013,https://oglobo.globo.com/rio/tcu-alerta-para-atrasos-em-obras-das-olimpiadas-do-rio-de-janeiro-10153279,TCU alerta para atrasos em obras das Olimpíadas do Rio de Janeiro,Negative,,,,,,
108,04/10/2013,http://g1.globo.com/jornal-nacional/noticia/2013/10/saneamento-vira-desafio-olimpico-por-causa-da-baia-de-guanabara.html,Saneamento vira desafio olímpico por causa da Baía de Guanabara,Neutral,,,,,,
282,12/12/2013,http://g1.globo.com/globo-news/noticia/2013/12/cidades-e-solucoes-acompanha-obras-para-olimpiadas-de-2016.html,Cidades e Soluções acompanha obras no Rio para as Olimpíadas de 2016,Neutral,,,,,,
248,24/04/2014,https://oglobo.globo.com/rio/paes-promete-transformar-reserva-de-marapendi-em-parque-ate-2016-12291170,Paes promete transformar reserva de Marapendi em parque até 2016,Positive,,,,,,
144,30/04/2014,http://globoesporte.globo.com/olimpiadas/noticia/2014/04/lars-espera-legado-olimpico-proximo-de-zero-e-defende-vela-em-buzios.html,Lars espera legado olímpico próximo do zero e defende vela em Búzios,Negative,,,,,,
62,25/07/2014,http://g1.globo.com/rio-de-janeiro/noticia/2014/07/projeto-de-despoluicao-de-lagoas-da-zona-oeste-do-rio-inclui-ilha-parque.html,Projeto de despoluição de lagoas da Zona Oeste do Rio inclui ilha-parque,Neutral,,,,,,
170,06/01/2015,http://g1.globo.com/rio-de-janeiro/blog/dodo-azevedo/post/you-only-live-once.html,You only live once,Neutral,,,,,,
140,21/01/2015,http://g1.globo.com/rio-de-janeiro/noticia/2015/01/projeto-social-do-rj-que-atende-cerca-de-300-mil-pessoas-e-paralisado.html,Projeto social do RJ que atende cerca de 300 mil pessoas é paralisado,Negative,,,,,,
171,21/01/2015,http://globoesporte.globo.com/blogs/especial-blog/favela-ec/post/governo-do-rio-manda-parar-programa-esportivo-que-atende-300-mil-pessoas.html,Governo do Rio manda parar programa esportivo que atende 300 mil pessoas | Blog Favela EC,Negative,,,,,,
234,25/02/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/02/thomas-bach-e-sabatinado-por-universitarios-no-rio-de-janeiro.html,"Em sabatina com alunos universitários, Bach debate sobre legado olímpico",Neutral,,,,,,
266,23/03/2015,http://globoesporte.globo.com/canoagem/noticia/2015/03/polemico-canal-olimpico-da-canoagem-slalom-sera-sede-do-mundial-de-2018.html,"Polêmico, canal olímpico da canoagem slalom será sede do Mundial de 2018",Neutral,,,,,,
287,29/04/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/04/junto-com-velha-guarda-lars-grael-assume-comissao-nacional-de-atletas.html,"Ao lado de velha guarda, Lars Grael assume Comissão Nacional de Atletas",Neutral,,,,,,
104,14/05/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/05/descartada-da-apo-moser-cita-e-mail-polemico-e-questiona-legado-olimpico.html,"Descartada da APO, Moser cita e-mail polêmico e questiona legado olímpico",Negative,,,,,,
220,26/05/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/05/14-meses-par-ao-rio-2016-principal-legado-esportivo-tem-futuro-incerto.html,"A 14 meses para o Rio 2016, principal legado esportivo tem futuro incerto",Negative,,,,,,
276,16/06/2015,https://oglobo.globo.com/esportes/reunidas-em-conselho-federacoes-esportivas-discutem-legado-da-rio-2016-16460760,"Reunidas em conselho, federações esportivas discutem legado da Rio-2016",Neutral,,,,,,
268,29/07/2015,https://oglobo.globo.com/esportes/rio-2016/prefeitura-anuncia-planos-para-futuro-dos-parques-olimpicos-da-barra-de-deodoro-17005067,Prefeitura anuncia planos para o futuro dos parques olímpicos da Barra e de Deodoro,Positive,,,,,,
283,29/07/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/07/plano-de-legado-olimpico-expoe-rusga-entre-prefeitura-e-ministerio-do-esporte.html,Prefeitura lança plano de legado e expõe rusga com Ministério do Esporte,Negative,,,,,,
203,04/09/2015,https://extra.globo.com/esporte/rio-olimpico/legado-olimpico-de-2016-promessa-quase-cumprida-na-praca-maua-17404524.html,Legado Olímpico de 2016: promessa quase cumprida na praça Mauá,Neutral,,,,,,
136,09/09/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/09/sistema-nacional-do-esporte-e-apresentado-e-se-alinha-educacao.html,Sistema Nacional do Esporte é apresentado e se alinha à educação,Neutral,,,,,,
257,07/10/2015,https://valor.globo.com/empresas/noticia/2015/10/07/recessao-acende-sinal-de-alerta-para-legado-olimpico.ghtml,Recessão acende sinal de alerta para legado olímpico,Neutral,,,,,,
279,19/10/2015,http://globoesporte.globo.com/olimpiadas/noticia/2015/10/arenas-do-rio-2016-homenageiam-o-outubro-rosa-com-iluminacao-especial.html,Arenas do Rio 2016 homenageiam o Outubro Rosa com iluminação especial,Positive,,,,,,
269,30/10/2015,http://g1.globo.com/rio-de-janeiro/noticia/2015/10/mercado-municipal-do-rio-abre-nesta-sexta-30-o-3-festival-gastronomico.html,Mercado Municipal do Rio abre nesta sexta (30) o 3° Festival Gastronômico,Neutral,,,,,,
278,26/11/2015,https://oglobo.globo.com/esportes/circuito-de-canoagem-slalom-inaugurado-no-rio-de-janeiro-18149839,Circuito de Canoagem Slalom é inaugurado no Rio de Janeiro,Neutral,,,,,,
289,16/12/2015,http://globoesporte.globo.com/premio-brasil-olimpico/noticia/2015/12/homenageado-guga-cre-em-legado-olimpico-mas-descarta-jogos-nota-10.html,"Homenageado, Guga crê em legado olímpico, mas descarta Jogos ""nota 10""",Positive,,,,,,
226,25/12/2015,http://g1.globo.com/rio-de-janeiro/noticia/2015/12/fechado-para-o-natal-parque-radical-de-deodoro-e-invadido-no-rio.html,"Fechado para o Natal, Parque Radical de Deodoro é invadido no Rio",Negative,,,,,,
264,08/01/2016,http://globoesporte.globo.com/olimpiadas/natacao/noticia/2016/08/thiago-pereira-sofre-para-gerenciar-ingressos-da-familia-fazer-magica.html,Thiago Pereira sofre para gerenciar ingressos da família: "Fazer mágica",Negative,,,,,,
