Rank,Date,Link,Title,Labels,,,,,,
62,06/07/2005,https://www.theguardian.com/uk/2005/jul/06/olympics2012.olympicgames,London Games would 'inspire athletes of tomorrow',Positive,,,,,,
210,04/05/2006,https://www.theguardian.com/sport/2006/may/04/Olympics2012.politics,London 2012: Legacy is key to 2012,Neutral,,,,,,
248,11/10/2006,https://www.theguardian.com/sport/2006/oct/11/Olympics2012.politics,2012: No cut-price Olympic legacy for football's fat cats,Negative,,,,,,
84,13/12/2006,https://www.theguardian.com/commentisfree/2006/dec/13/comment.london,Jonathan Glancey: Ill-defined plans could leave a disastrous legacy for 2012 Olympics,Negative,,,,,,
230,07/03/2007,https://www.theguardian.com/sport/2007/mar/07/Olympics2012.politics,Debate: Will the legacy of 2012 be worth all the extra cost?,Neutral,,,,,,
260,11/06/2007,https://www.theguardian.com/commentisfree/2007/jun/12/comment.Olympics2012,George Monbiot: London is getting into the Olympic spirit - by kicking out the Gypsies,Positive,,,,,,
95,08/11/2007,https://www.theguardian.com/uk/2007/nov/08/architecture.olympics2012,"Long on legacy, short on wow",Neutral,,,,,,
71,16/05/2008,https://www.theguardian.com/sport/2008/may/16/olympicgames2012.boris,"I can work with Coe and deliver London legacy, says Hoey",Positive,,,,,,
221,21/08/2008,https://www.theguardian.com/uk/2008/aug/21/olympics2012.olympics2008,London 2012 Olympic stadium may not have an athletics legacy after all,Negative,,,,,,
209,26/08/2008,https://www.theguardian.com/politics/2008/aug/26/boris.olympics2012,London 2012 Olympics: Boris Johnson vows to create 'massive sporting legacy',Positive,,,,,,
125,02/10/2008,https://www.theguardian.com/uk/2008/oct/02/olympics2012.boris,Boris Johnson appoints Carphone Warehouse founder as chief Olympic adviser,Neutral,,,,,,
40,10/02/2009,https://www.theguardian.com/uk/2009/feb/10/olympic-games-london-2012-university,Olympic university' to be built on site of London games,Positive,,,,,,
96,19/03/2009,https://www.theguardian.com/uk/2009/mar/19/olympics2012,Olympics: 'Dismay' over Woolwich as shooting venue for London 2012,Neutral,,,,,,
233,24/06/2009,https://www.theguardian.com/careers/video/olympic-planning-team,Working on the Olympic planning team,Neutral,,,,,,
127,30/06/2009,https://www.theguardian.com/football/2009/jun/30/olympic-stadium-2012-full-capacity-world-cup,"World Cup bid success could keep Olympic stadium at 80,000 capacity",Positive,,,,,,
243,09/07/2009,https://www.theguardian.com/uk/2009/jul/09/london-2012-olympic-stadium-future,Tessa Jowell disputes mayor's claims over 2012 Olympic Stadium legacy,Neutral,,,,,,
257,26/07/2009,https://www.theguardian.com/uk/davehillblog/2009/jul/26/2012-olympic-park-legacy,Urgent thinking is underway about long-term 2012 Olympic legacy,Neutral,,,,,,
244,26/07/2009,https://www.theguardian.com/uk/2009/jul/26/london-2012-olympics-legacy-tsar,Games tsar to ensure legacy of London 2012 Olympics,Neutral,,,,,,
258,27/07/2009,https://www.theguardian.com/uk/audio/2009/jul/27/london-olympics-legacy,Owen Gibson on the work being done to ensure that the London Olympics leaves a positive legacy,Positive,,,,,,
226,27/07/2009,https://www.theguardian.com/sport/david-conn-inside-sport-blog/2009/jul/27/olympics-legacy-vision-short-sighted,London Olympics legacy vision will ultimately prove to be short-sighted | David Conn,Negative,,,,,,
264,28/07/2009,https://www.theguardian.com/uk/davehillblog/2009/jul/28/london-london,2012 London Olympics social legacy matters more than sport,Positive,,,,,,
106,10/09/2009,https://www.theguardian.com/uk/2009/sep/10/olympic-games-sport-england,"Government's 2012 Olympics claims are hollow, say opposition MPs",Negative,,,,,,
231,21/10/2009,https://www.theguardian.com/uk/2009/oct/21/sebastian-coe-london-2012-olympics-legacy,"Legacy is the story for 2012, says Coe",Neutral,,,,,,
