Rank,Date,Link,Title,Labels,subjectivity_label,subjectivity_text,entities,Is_Money
62,6/7/2005,https://www.theguardian.com/uk/2005/jul/06/olympics2012.olympicgames,London Games would 'inspire athletes of tomorrow',Positive,objective,objective: London Games would 'inspire athletes of tomorrow',"[{""text"": ""London Games"", ""type"": ""EVENT"", ""start"": 0, ""end"": 12, ""cms"": null}]",O
210,4/5/2006,https://www.theguardian.com/sport/2006/may/04/Olympics2012.politics,London 2012: Legacy is key to 2012,Neutral,objective,objective: London 2012: Legacy is key to 2012,"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 0, ""end"": 6, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 7, ""end"": 11, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 30, ""end"": 34, ""cms"": null}]",O
248,11/10/2006,https://www.theguardian.com/sport/2006/oct/11/Olympics2012.politics,2012: No cut-price Olympic legacy for football's fat cats,Negative,subjective,subjective: 2012: No cut-price Olympic legacy for football's fat cats,"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 0, ""end"": 4, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 19, ""end"": 26, ""cms"": null}]",O
84,13/12/2006,https://www.theguardian.com/commentisfree/2006/dec/13/comment.london,Jonathan Glancey: Ill-defined plans could leave a disastrous legacy for 2012 Olympics,Negative,subjective,subjective: Jonathan Glancey: Ill-defined plans could leave a disastrous legacy for 2012 Olympics,"[{""text"": ""Jonathan Glancey"", ""type"": ""PERSON"", ""start"": 0, ""end"": 16, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 72, ""end"": 76, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 77, ""end"": 85, ""cms"": null}]",O
230,7/3/2007,https://www.theguardian.com/sport/2007/mar/07/Olympics2012.politics,Debate: Will the legacy of 2012 be worth all the extra cost?,Neutral,subjective,subjective: Debate: Will the legacy of 2012 be worth all the extra cost?,"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 27, ""end"": 31, ""cms"": null}]",O
260,11/6/2007,https://www.theguardian.com/commentisfree/2007/jun/12/comment.Olympics2012,George Monbiot: London is getting into the Olympic spirit - by kicking out the Gypsies,Positive,objective,objective: George Monbiot: London is getting into the Olympic spirit - by kicking out the Gypsies,"[{""text"": ""George Monbiot"", ""type"": ""PERSON"", ""start"": 0, ""end"": 14, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 16, ""end"": 22, ""cms"": null}, {""text"": ""Gypsies"", ""type"": ""NORP"", ""start"": 79, ""end"": 86, ""cms"": null}]",O
95,8/11/2007,https://www.theguardian.com/uk/2007/nov/08/architecture.olympics2012,"Long on legacy, short on wow",Neutral,subjective,"subjective: Long on legacy, short on wow",[],O
71,16/05/2008,https://www.theguardian.com/sport/2008/may/16/olympicgames2012.boris,"I can work with Coe and deliver London legacy, says Hoey",Positive,objective,"objective: I can work with Coe and deliver London legacy, says Hoey","[{""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 16, ""end"": 19, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 32, ""end"": 38, ""cms"": null}, {""text"": ""Hoey"", ""type"": ""PERSON"", ""start"": 52, ""end"": 56, ""cms"": null}]",O
221,21/08/2008,https://www.theguardian.com/uk/2008/aug/21/olympics2012.olympics2008,London 2012 Olympic stadium may not have an athletics legacy after all,Negative,objective,objective: London 2012 Olympic stadium may not have an athletics legacy after all,"[{""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 0, ""end"": 11, ""cms"": null}]",O
209,26/08/2008,https://www.theguardian.com/politics/2008/aug/26/boris.olympics2012,London 2012 Olympics: Boris Johnson vows to create 'massive sporting legacy',Positive,objective,objective: London 2012 Olympics: Boris Johnson vows to create 'massive sporting legacy',"[{""text"": ""London 2012 Olympics"", ""type"": ""EVENT"", ""start"": 0, ""end"": 20, ""cms"": null}, {""text"": ""Boris Johnson"", ""type"": ""PERSON"", ""start"": 22, ""end"": 35, ""cms"": null}]",O
125,2/10/2008,https://www.theguardian.com/uk/2008/oct/02/olympics2012.boris,Boris Johnson appoints Carphone Warehouse founder as chief Olympic adviser,Neutral,objective,objective: Boris Johnson appoints Carphone Warehouse founder as chief Olympic adviser,"[{""text"": ""Boris Johnson"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""Carphone Warehouse"", ""type"": ""ORG"", ""start"": 23, ""end"": 41, ""cms"": null}]",O
40,10/2/2009,https://www.theguardian.com/uk/2009/feb/10/olympic-games-london-2012-university,Olympic university' to be built on site of London games,Positive,objective,objective: Olympic university' to be built on site of London games,"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 43, ""end"": 49, ""cms"": null}]",O
96,19/03/2009,https://www.theguardian.com/uk/2009/mar/19/olympics2012,Olympics: 'Dismay' over Woolwich as shooting venue for London 2012,Neutral,objective,objective: Olympics: 'Dismay' over Woolwich as shooting venue for London 2012,"[{""text"": ""Woolwich"", ""type"": ""GPE"", ""start"": 24, ""end"": 32, ""cms"": null}, {""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 55, ""end"": 66, ""cms"": null}]",O
233,24/06/2009,https://www.theguardian.com/careers/video/olympic-planning-team,Working on the Olympic planning team,Neutral,objective,objective: Working on the Olympic planning team,"[{""text"": ""Olympic"", ""type"": ""NORP"", ""start"": 15, ""end"": 22, ""cms"": null}]",O
127,30/06/2009,https://www.theguardian.com/football/2009/jun/30/olympic-stadium-2012-full-capacity-world-cup,"World Cup bid success could keep Olympic stadium at 80,000 capacity",Positive,objective,"objective: World Cup bid success could keep Olympic stadium at 80,000 capacity","[{""text"": ""World Cup"", ""type"": ""EVENT"", ""start"": 0, ""end"": 9, ""cms"": null}, {""text"": ""80,000"", ""type"": ""CARDINAL"", ""start"": 52, ""end"": 58, ""cms"": null}]",O
243,9/7/2009,https://www.theguardian.com/uk/2009/jul/09/london-2012-olympic-stadium-future,Tessa Jowell disputes mayor's claims over 2012 Olympic Stadium legacy,Neutral,objective,objective: Tessa Jowell disputes mayor's claims over 2012 Olympic Stadium legacy,"[{""text"": ""Tessa Jowell"", ""type"": ""PERSON"", ""start"": 0, ""end"": 12, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 42, ""end"": 46, ""cms"": null}, {""text"": ""Olympic Stadium"", ""type"": ""FAC"", ""start"": 47, ""end"": 62, ""cms"": null}]",O
257,26/07/2009,https://www.theguardian.com/uk/davehillblog/2009/jul/26/2012-olympic-park-legacy,Urgent thinking is underway about long-term 2012 Olympic legacy,Neutral,objective,objective: Urgent thinking is underway about long-term 2012 Olympic legacy,"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 44, ""end"": 48, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 49, ""end"": 56, ""cms"": null}]",O
244,26/07/2009,https://www.theguardian.com/uk/2009/jul/26/london-2012-olympics-legacy-tsar,Games tsar to ensure legacy of London 2012 Olympics,Neutral,objective,objective: Games tsar to ensure legacy of London 2012 Olympics,"[{""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 31, ""end"": 42, ""cms"": null}]",O
258,27/07/2009,https://www.theguardian.com/uk/audio/2009/jul/27/london-olympics-legacy,Owen Gibson on the work being done to ensure that the London Olympics leaves a positive legacy,Positive,objective,objective: Owen Gibson on the work being done to ensure that the London Olympics leaves a positive legacy,"[{""text"": ""Owen Gibson"", ""type"": ""PERSON"", ""start"": 0, ""end"": 11, ""cms"": null}, {""text"": ""the London Olympics"", ""type"": ""EVENT"", ""start"": 50, ""end"": 69, ""cms"": null}]",O
