	sentence	named_entity	rank
0	"Holding the 2012 Olympic Games in London would offer a ""vision of inspiration"" for future generations, the city's bid team told the International Olympic Committee in Singapore today."	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 12, ""end"": 16, ""cms"": null}, {""text"": ""Olympic Games"", ""type"": ""EVENT"", ""start"": 17, ""end"": 30, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 34, ""end"": 40, ""cms"": null}, {""text"": ""the International Olympic Committee"", ""type"": ""ORG"", ""start"": 128, ""end"": 163, ""cms"": null}, {""text"": ""Singapore"", ""type"": ""GPE"", ""start"": 167, ""end"": 176, ""cms"": null}, {""text"": ""today"", ""type"": ""DATE"", ""start"": 177, ""end"": 182, ""cms"": null}]"	62
1	"

"	[]	62
2	The London 2012 team made their final presentation to the IOC, which included a recorded message from the prime minister, Tony Blair, in both French and English - the two official languages of the committee.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 4, ""end"": 10, ""cms"": null}, {""text"": ""IOC"", ""type"": ""ORG"", ""start"": 58, ""end"": 61, ""cms"": null}, {""text"": ""Tony Blair"", ""type"": ""PERSON"", ""start"": 122, ""end"": 132, ""cms"": null}, {""text"": ""French"", ""type"": ""LANGUAGE"", ""start"": 142, ""end"": 148, ""cms"": null}, {""text"": ""English"", ""type"": ""LANGUAGE"", ""start"": 153, ""end"": 160, ""cms"": null}, {""text"": ""two"", ""type"": ""CARDINAL"", ""start"": 167, ""end"": 170, ""cms"": null}]"	62
3	"

""Our vision is to see millions more young people - in Britain and across the world - participating in sport and improving their lives as a result of that participation,"" Mr Blair said."	"[{""text"": ""millions"", ""type"": ""CARDINAL"", ""start"": 24, ""end"": 32, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 56, ""end"": 63, ""cms"": null}, {""text"": ""Blair"", ""type"": ""PERSON"", ""start"": 175, ""end"": 180, ""cms"": null}]"	62
4	"""London has the power to make that happen."	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 1, ""end"": 7, ""cms"": null}]"	62
5	"It is a city with a voice that talks to young people."""	[]	62
6	"

The prime minister's appeal was echoed by the London 2012 committee chairman and double Olympic winner Sebastian Coe."	"[{""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 48, ""end"": 59, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 90, ""end"": 97, ""cms"": null}, {""text"": ""Sebastian Coe"", ""type"": ""PERSON"", ""start"": 105, ""end"": 118, ""cms"": null}]"	62
7	"

Lord Coe drew upon memories of how the Mexico Olympics had inspired him to become a world-class athlete, telling the IOC that giving the games to London would ""inspire the athletes of tomorrow""."	"[{""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 7, ""end"": 10, ""cms"": null}, {""text"": ""the Mexico Olympics"", ""type"": ""EVENT"", ""start"": 37, ""end"": 56, ""cms"": null}, {""text"": ""IOC"", ""type"": ""ORG"", ""start"": 119, ""end"": 122, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 148, ""end"": 154, ""cms"": null}, {""text"": ""tomorrow"", ""type"": ""DATE"", ""start"": 186, ""end"": 194, ""cms"": null}]"	62
8	"

""It is a critical decision about which bid offers the vision and sporting legacy but protects the Olympic Games,"" he said."	"[{""text"": ""the Olympic Games"", ""type"": ""EVENT"", ""start"": 96, ""end"": 113, ""cms"": null}]"	62
9	"""It is a decision about which city shows a generation why sport matters."	[]	62
10	"

""That's what drives me to do whatever we can to inspire young people to choose sport - whatever they do, whatever they believe and wherever they live."	[]	62
11	"Choose London today, and you send a clear message to the youth of the world - the Olympic Games is for you."""	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 7, ""end"": 13, ""cms"": null}, {""text"": ""today"", ""type"": ""DATE"", ""start"": 14, ""end"": 19, ""cms"": null}, {""text"": ""the Olympic Games"", ""type"": ""EVENT"", ""start"": 78, ""end"": 95, ""cms"": null}]"	62
12	"

"	[]	62
13	Princess Anne opened London's presentation and read out a message from the Queen.	"[{""text"": ""Anne"", ""type"": ""PERSON"", ""start"": 9, ""end"": 13, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 21, ""end"": 27, ""cms"": null}]"	62
14	In it, the monarch said she hoped all 115 IOC members would be in London in 2012 and would visit Buckingham Palace.	"[{""text"": ""115"", ""type"": ""CARDINAL"", ""start"": 38, ""end"": 41, ""cms"": null}, {""text"": ""IOC"", ""type"": ""ORG"", ""start"": 42, ""end"": 45, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 66, ""end"": 72, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 76, ""end"": 80, ""cms"": null}, {""text"": ""Buckingham Palace"", ""type"": ""FAC"", ""start"": 97, ""end"": 114, ""cms"": null}]"	62
15	"

"	[]	62
16	Almost half London's delegation of guests in Singapore are athletes and children - a reminder to the IOC that trying to inspire future generations and regenerating London's East End were central to London's bid.	"[{""text"": ""Almost half"", ""type"": ""CARDINAL"", ""start"": 0, ""end"": 11, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 12, ""end"": 18, ""cms"": null}, {""text"": ""Singapore"", ""type"": ""GPE"", ""start"": 45, ""end"": 54, ""cms"": null}, {""text"": ""IOC"", ""type"": ""ORG"", ""start"": 101, ""end"": 104, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 164, ""end"": 170, ""cms"": null}, {""text"": ""East End"", ""type"": ""LOC"", ""start"": 173, ""end"": 181, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 198, ""end"": 204, ""cms"": null}]"	62
17	"

The capital's bid team flew 30 schoolchildren, aged between 12 and 18, to Singapore."	"[{""text"": ""30"", ""type"": ""CARDINAL"", ""start"": 30, ""end"": 32, ""cms"": null}, {""text"": ""between 12 and 18"", ""type"": ""DATE"", ""start"": 54, ""end"": 71, ""cms"": null}, {""text"": ""Singapore"", ""type"": ""GPE"", ""start"": 76, ""end"": 85, ""cms"": null}]"	62
18	"""Why are so many here taking the place of politicians and businessmen?"	[]	62
19	"It's because we are serious about inspiring young people,"" Lord Coe said."	"[{""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 64, ""end"": 67, ""cms"": null}]"	62
20	"

Each of the five cities were given 45 minutes in which to make a final presentation to the IOC before the vote, the result of which is due at 7.46pm local time (1246 BST)."	"[{""text"": ""five"", ""type"": ""CARDINAL"", ""start"": 14, ""end"": 18, ""cms"": null}, {""text"": ""45 minutes"", ""type"": ""TIME"", ""start"": 37, ""end"": 47, ""cms"": null}, {""text"": ""IOC"", ""type"": ""ORG"", ""start"": 93, ""end"": 96, ""cms"": null}, {""text"": ""7.46pm local time"", ""type"": ""TIME"", ""start"": 144, ""end"": 161, ""cms"": null}, {""text"": ""1246 BST"", ""type"": ""TIME"", ""start"": 163, ""end"": 171, ""cms"": null}]"	62
21	"

Paris made the first presentation, and was followed by New York, Moscow, London and Madrid."	"[{""text"": ""Paris"", ""type"": ""GPE"", ""start"": 2, ""end"": 7, ""cms"": null}, {""text"": ""first"", ""type"": ""ORDINAL"", ""start"": 17, ""end"": 22, ""cms"": null}, {""text"": ""New York"", ""type"": ""GPE"", ""start"": 57, ""end"": 65, ""cms"": null}, {""text"": ""Moscow"", ""type"": ""GPE"", ""start"": 67, ""end"": 73, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 75, ""end"": 81, ""cms"": null}, {""text"": ""Madrid"", ""type"": ""GPE"", ""start"": 86, ""end"": 92, ""cms"": null}]"	62
22	"

"	[]	62
23	The French capital's presentation included a film by the Hollywood director Luc Besson and a keynote speech by the French president, Jacques Chirac.	"[{""text"": ""French"", ""type"": ""NORP"", ""start"": 4, ""end"": 10, ""cms"": null}, {""text"": ""Hollywood"", ""type"": ""GPE"", ""start"": 57, ""end"": 66, ""cms"": null}, {""text"": ""Luc Besson"", ""type"": ""PERSON"", ""start"": 76, ""end"": 86, ""cms"": null}, {""text"": ""French"", ""type"": ""NORP"", ""start"": 115, ""end"": 121, ""cms"": null}, {""text"": ""Jacques Chirac"", ""type"": ""PERSON"", ""start"": 133, ""end"": 147, ""cms"": null}]"	62
24	"

Mr Chirac made much of the fact this was the third time in 20 years that Paris, which hosted the Games in 1924, has bid."	"[{""text"": ""Chirac"", ""type"": ""PERSON"", ""start"": 5, ""end"": 11, ""cms"": null}, {""text"": ""third"", ""type"": ""ORDINAL"", ""start"": 47, ""end"": 52, ""cms"": null}, {""text"": ""20 years"", ""type"": ""DATE"", ""start"": 61, ""end"": 69, ""cms"": null}, {""text"": ""Paris"", ""type"": ""GPE"", ""start"": 75, ""end"": 80, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 99, ""end"": 104, ""cms"": null}, {""text"": ""1924"", ""type"": ""DATE"", ""start"": 108, ""end"": 112, ""cms"": null}]"	62
25	Sebastian Coe, the chairman of London 2012, insisted yesterday that increased participation in sport and improved public facilities were at the heart of the Olympic project after criticism that creating a sporting legacy was being neglected.	"[{""text"": ""Sebastian Coe"", ""type"": ""PERSON"", ""start"": 0, ""end"": 13, ""cms"": null}, {""text"": ""London 2012"", ""type"": ""EVENT"", ""start"": 31, ""end"": 42, ""cms"": null}, {""text"": ""yesterday"", ""type"": ""DATE"", ""start"": 53, ""end"": 62, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 157, ""end"": 164, ""cms"": null}]"	210
26	"

The issue - which was instrumental in London winning its bid to stage the games - dominated the annual conference of the Central Council of Physical Recreation (CCPR) after its chief executive Tim Lamb called for a single body to be given responsibility for delivering a legacy of physical activity throughout the UK."	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 40, ""end"": 46, ""cms"": null}, {""text"": ""annual"", ""type"": ""DATE"", ""start"": 98, ""end"": 104, ""cms"": null}, {""text"": ""the Central Council of Physical Recreation"", ""type"": ""ORG"", ""start"": 119, ""end"": 161, ""cms"": null}, {""text"": ""CCPR"", ""type"": ""ORG"", ""start"": 163, ""end"": 167, ""cms"": null}, {""text"": ""Tim Lamb"", ""type"": ""PERSON"", ""start"": 195, ""end"": 203, ""cms"": null}, {""text"": ""UK"", ""type"": ""GPE"", ""start"": 316, ""end"": 318, ""cms"": null}]"	210
27	"

"	[]	210
28	Lamb said no single organisation could be held to account on the legacy issue.	"[{""text"": ""Lamb"", ""type"": ""PERSON"", ""start"": 0, ""end"": 4, ""cms"": null}]"	210
29	"""Thought needs to be given now to how we can get people up out of their armchairs and into the courts, pitches and pools which the Olympics will leave and which already exist across the country."	"[{""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 131, ""end"": 139, ""cms"": null}]"	210
30	"We need a plan for a legacy of participation and we need it before the sites are built, not as an afterthought."""	[]	210
31	"

The CCPR, which has 270 member organisations from football to folk dancing and bowling to bridge, and represents 150,000 clubs across Britain, said the success of 2012 would be judged on more than just medals."	"[{""text"": ""CCPR"", ""type"": ""ORG"", ""start"": 6, ""end"": 10, ""cms"": null}, {""text"": ""270"", ""type"": ""CARDINAL"", ""start"": 22, ""end"": 25, ""cms"": null}, {""text"": ""150,000"", ""type"": ""CARDINAL"", ""start"": 115, ""end"": 122, ""cms"": null}, {""text"": ""Britain"", ""type"": ""GPE"", ""start"": 136, ""end"": 143, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 165, ""end"": 169, ""cms"": null}]"	210
32	"

Lamb said the CCPR should have a seat at the top table determining legacy issues, but Coe said the process was best overseen by the four members of the Olympic Board: Tessa Jowell, the Olympics minister, Ken Livingstone, mayor of London, Lord Moynihan, chairman of the British Olympic Association and Coe, himself, as chairman of the organising committee."	"[{""text"": ""Lamb"", ""type"": ""PERSON"", ""start"": 2, ""end"": 6, ""cms"": null}, {""text"": ""CCPR"", ""type"": ""ORG"", ""start"": 16, ""end"": 20, ""cms"": null}, {""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 88, ""end"": 91, ""cms"": null}, {""text"": ""four"", ""type"": ""CARDINAL"", ""start"": 134, ""end"": 138, ""cms"": null}, {""text"": ""the Olympic Board"", ""type"": ""ORG"", ""start"": 150, ""end"": 167, ""cms"": null}, {""text"": ""Tessa Jowell"", ""type"": ""PERSON"", ""start"": 169, ""end"": 181, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 187, ""end"": 195, ""cms"": null}, {""text"": ""Ken Livingstone"", ""type"": ""PERSON"", ""start"": 206, ""end"": 221, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 232, ""end"": 238, ""cms"": null}, {""text"": ""Moynihan"", ""type"": ""PERSON"", ""start"": 245, ""end"": 253, ""cms"": null}, {""text"": ""the British Olympic Association"", ""type"": ""ORG"", ""start"": 267, ""end"": 298, ""cms"": null}, {""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 303, ""end"": 306, ""cms"": null}]"	210
33	"

Coe told the conference that legacy was ""absolutely epicentral"" to the plans for 2012."	"[{""text"": ""Coe"", ""type"": ""PERSON"", ""start"": 2, ""end"": 5, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 83, ""end"": 87, ""cms"": null}]"	210
34	"""Legacy is probably nine-tenths of what this process is about, not just 16 days of Olympic sport,"" he said."	"[{""text"": ""nine-tenths"", ""type"": ""CARDINAL"", ""start"": 20, ""end"": 31, ""cms"": null}, {""text"": ""just 16 days"", ""type"": ""DATE"", ""start"": 67, ""end"": 79, ""cms"": null}]"	210
35	"

Roger Draper, chief executive of the Lawn Tennis Association, said more investment was needed in club structure and coaching in the middle ground between school and elite sport."	"[{""text"": ""Roger Draper"", ""type"": ""PERSON"", ""start"": 2, ""end"": 14, ""cms"": null}, {""text"": ""the Lawn Tennis Association"", ""type"": ""ORG"", ""start"": 35, ""end"": 62, ""cms"": null}]"	210
36	"""I would hate it for kids to walk out in 2012 to rotting facilities, no coaches and poor infrastructure."""	"[{""text"": ""2012"", ""type"": ""DATE"", ""start"": 41, ""end"": 45, ""cms"": null}]"	210
37	"West Ham United and Tottenham Hotspur are ""extremely unlikely"" to move into London's main Olympic stadium after the event in 2012, according to senior figures organising the Games."	"[{""text"": ""West Ham United"", ""type"": ""ORG"", ""start"": 0, ""end"": 15, ""cms"": null}, {""text"": ""Tottenham Hotspur"", ""type"": ""ORG"", ""start"": 20, ""end"": 37, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 76, ""end"": 82, ""cms"": null}, {""text"": ""2012"", ""type"": ""DATE"", ""start"": 125, ""end"": 129, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 174, ""end"": 179, ""cms"": null}]"	248
38	The Olympic Delivery Authority has held discussions with both clubs but is maintaining its original plan to build the Olympic and Paralympic Games' central venue with 80,000 mostly temporary seats and then scale it down to a 25,000-capacity stadium still containing an athletics track.	"[{""text"": ""The Olympic Delivery Authority"", ""type"": ""ORG"", ""start"": 0, ""end"": 30, ""cms"": null}, {""text"": ""the Olympic and Paralympic Games'"", ""type"": ""EVENT"", ""start"": 114, ""end"": 147, ""cms"": null}, {""text"": ""80,000"", ""type"": ""CARDINAL"", ""start"": 167, ""end"": 173, ""cms"": null}, {""text"": ""25,000"", ""type"": ""CARDINAL"", ""start"": 225, ""end"": 231, ""cms"": null}]"	248
39	"

"	[]	248
40	"The ODA and Ken Livingstone, the mayor of London, are responsible for securing a sustainable ""legacy"" for the massive public money - upwards of £2bn - which will be spent on hosting the Olympics, and there is no appetite for millions of it to subsidise a Premier League football club which wants a bigger home on the cheap."	"[{""text"": ""ODA"", ""type"": ""ORG"", ""start"": 4, ""end"": 7, ""cms"": null}, {""text"": ""Ken Livingstone"", ""type"": ""PERSON"", ""start"": 12, ""end"": 27, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 42, ""end"": 48, ""cms"": null}, {""text"": ""upwards of \u00a32bn - which"", ""type"": ""MONEY"", ""start"": 133, ""end"": 156, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 186, ""end"": 194, ""cms"": null}, {""text"": ""millions"", ""type"": ""CARDINAL"", ""start"": 225, ""end"": 233, ""cms"": null}, {""text"": ""Premier League"", ""type"": ""ORG"", ""start"": 255, ""end"": 269, ""cms"": null}]"	248
41	The London organisers are determined not to repeat what was done in Manchester where £120m of public money was spent building a permanent stadium for the 2002 Commonwealth Games - and then the track was removed so the stadium could be handed to Manchester City on terms regarded as startlingly generous.	"[{""text"": ""London"", ""type"": ""GPE"", ""start"": 4, ""end"": 10, ""cms"": null}, {""text"": ""Manchester"", ""type"": ""GPE"", ""start"": 68, ""end"": 78, ""cms"": null}, {""text"": ""120"", ""type"": ""MONEY"", ""start"": 86, ""end"": 89, ""cms"": null}, {""text"": ""m"", ""type"": ""MONEY"", ""start"": 89, ""end"": 90, ""cms"": null}, {""text"": ""2002"", ""type"": ""DATE"", ""start"": 154, ""end"": 158, ""cms"": null}, {""text"": ""Commonwealth Games"", ""type"": ""EVENT"", ""start"": 159, ""end"": 177, ""cms"": null}, {""text"": ""Manchester City"", ""type"": ""GPE"", ""start"": 245, ""end"": 260, ""cms"": null}]"	248
42	"

That deal - under which City pay no rent up to an attendance of 32,500 then share revenue above that gate with the local council - is thought to have encouraged the London clubs to hope a similar gift horse was riding into Greenwich."	"[{""text"": ""City"", ""type"": ""GPE"", ""start"": 26, ""end"": 30, ""cms"": null}, {""text"": ""32,500"", ""type"": ""CARDINAL"", ""start"": 66, ""end"": 72, ""cms"": null}, {""text"": ""London"", ""type"": ""GPE"", ""start"": 167, ""end"": 173, ""cms"": null}, {""text"": ""Greenwich"", ""type"": ""GPE"", ""start"": 225, ""end"": 234, ""cms"": null}]"	248
43	However the ODA has made it clear that if the stadium is to host football after the Games with, say, a 60,000 permanent capacity - at an extra cost which some informed sources put at about £200m - this will not come out of public money.	"[{""text"": ""ODA"", ""type"": ""ORG"", ""start"": 12, ""end"": 15, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 84, ""end"": 89, ""cms"": null}, {""text"": ""60,000"", ""type"": ""CARDINAL"", ""start"": 103, ""end"": 109, ""cms"": null}, {""text"": ""about \u00a3200m"", ""type"": ""MONEY"", ""start"": 183, ""end"": 194, ""cms"": null}]"	248
44	The clubs would have to pay for it themselves and that has sent them away disappointed.	[]	248
45	"

"	[]	248
46	"""The option is still outstanding,"" David Higgins, the ODA chief executive said, ""but we are moving ahead to procure the stadium with a 25,000-seat legacy."""	"[{""text"": ""David Higgins"", ""type"": ""PERSON"", ""start"": 35, ""end"": 48, ""cms"": null}, {""text"": ""ODA"", ""type"": ""ORG"", ""start"": 54, ""end"": 57, ""cms"": null}, {""text"": ""25,000"", ""type"": ""CARDINAL"", ""start"": 135, ""end"": 141, ""cms"": null}]"	248
47	"

West Ham, the subject of takeover speculation and carrying £40m of debts, are not considered a realistic prospect to take on the stadium, and Tottenham are a long way from having the required amount of money - although both want to expand their grounds."	"[{""text"": ""West Ham"", ""type"": ""ORG"", ""start"": 2, ""end"": 10, ""cms"": null}, {""text"": ""40"", ""type"": ""MONEY"", ""start"": 62, ""end"": 64, ""cms"": null}, {""text"": ""m"", ""type"": ""MONEY"", ""start"": 64, ""end"": 65, ""cms"": null}, {""text"": ""Tottenham"", ""type"": ""ORG"", ""start"": 144, ""end"": 153, ""cms"": null}]"	248
48	"

The London Development Agency, which is contributing £260m to the Olympics and is responsible for securing a broader economic and social legacy, is understood to be wary of a football club moving into the new stadium as it would require a current ground to be demolished."	"[{""text"": ""The London Development Agency"", ""type"": ""ORG"", ""start"": 2, ""end"": 31, ""cms"": null}, {""text"": ""260"", ""type"": ""MONEY"", ""start"": 56, ""end"": 59, ""cms"": null}, {""text"": ""m"", ""type"": ""MONEY"", ""start"": 59, ""end"": 60, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 68, ""end"": 76, ""cms"": null}]"	248
49	Manchester City's Maine Road ground in the deprived area of Moss Side has been knocked down; housing is planned for the site.	"[{""text"": ""Manchester City's"", ""type"": ""GPE"", ""start"": 0, ""end"": 17, ""cms"": null}, {""text"": ""Maine Road"", ""type"": ""FAC"", ""start"": 18, ""end"": 28, ""cms"": null}, {""text"": ""Moss Side"", ""type"": ""LOC"", ""start"": 60, ""end"": 69, ""cms"": null}]"	248
50	"

The determination not to spend extra money creating an unnecessarily lavish stadium which ultimately boosts the life-chances of a privately owned Premier League club is part of the wider commitment to secure a sustainable legacy."	"[{""text"": ""Premier League"", ""type"": ""ORG"", ""start"": 148, ""end"": 162, ""cms"": null}]"	248
51	"

"	[]	248
