	sentence	named_entity	rank
0	The pollution at Guanabara Bay, site of sailing events at Rio 2016  World sailing's governing body is to test for viruses in waters to be used at the Rio Olympics in 2016.	"[{""text"": ""Guanabara Bay"", ""type"": ""LOC"", ""start"": 17, ""end"": 30, ""cms"": null}, {""text"": ""Rio 2016"", ""type"": ""EVENT"", ""start"": 58, ""end"": 66, ""cms"": null}, {""text"": ""the Rio Olympics"", ""type"": ""EVENT"", ""start"": 146, ""end"": 162, ""cms"": null}, {""text"": ""2016"", ""type"": ""DATE"", ""start"": 166, ""end"": 170, ""cms"": null}]"	36
1	 According to an Associated Press investigation, the sailing venue at Guanabara Bay is badly polluted, as is Rodrigo de Freitas lake, which will host rowing and canoeing.	"[{""text"": ""Associated Press"", ""type"": ""ORG"", ""start"": 17, ""end"": 33, ""cms"": null}, {""text"": ""Guanabara Bay"", ""type"": ""LOC"", ""start"": 70, ""end"": 83, ""cms"": null}, {""text"": ""Rodrigo de Freitas"", ""type"": ""LOC"", ""start"": 109, ""end"": 127, ""cms"": null}]"	36
2	 It is claimed the levels of raw sewage pose a serious health risk to athletes.	[]	36
3	" The International Sailing Federation's chief executive said the findings have helped ""wake us up again"".  ""I want to make sure everyone who goes out in the water is safe,"" Peter Sowrey added."	"[{""text"": ""The International Sailing Federation's"", ""type"": ""ORG"", ""start"": 1, ""end"": 39, ""cms"": null}, {""text"": ""Peter Sowrey"", ""type"": ""PERSON"", ""start"": 173, ""end"": 185, ""cms"": null}]"	36
4	 	[]	36
5	"""We're going to find someone who can do the testing for us that can safely cover what we need to know from a virus perspective, as well as the bacteria perspective.""  "	[]	36
6	The investigation also showed venues for triathlon and open water swimming off Copacabana Beach had high virus levels that pose a threat to athletes and tourists.	"[{""text"": ""Copacabana Beach"", ""type"": ""LOC"", ""start"": 79, ""end"": 95, ""cms"": null}]"	36
7	 Up to 1,400 athletes will compete in water sports at the Games and, in a statement to AP, the World Health Organisation said it has suggested the International Olympic Committee start monitoring for viruses at the Rio venues.	"[{""text"": ""Up to 1,400"", ""type"": ""CARDINAL"", ""start"": 1, ""end"": 12, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 58, ""end"": 63, ""cms"": null}, {""text"": ""AP"", ""type"": ""ORG"", ""start"": 87, ""end"": 89, ""cms"": null}, {""text"": ""the World Health Organisation"", ""type"": ""ORG"", ""start"": 91, ""end"": 120, ""cms"": null}, {""text"": ""the International Olympic Committee"", ""type"": ""ORG"", ""start"": 143, ""end"": 178, ""cms"": null}, {""text"": ""Rio"", ""type"": ""GPE"", ""start"": 215, ""end"": 218, ""cms"": null}]"	36
8	 What is Rio's Plan B?	"[{""text"": ""Rio"", ""type"": ""GPE"", ""start"": 9, ""end"": 12, ""cms"": null}]"	36
9	" When Rio was awarded the Olympics in 2009, it promised cleaning its waters would be an Olympic legacy, but Rio Mayor Eduardo Paes has repeatedly acknowledged this will not be done, calling it a ""lost opportunity""."	"[{""text"": ""Rio"", ""type"": ""GPE"", ""start"": 6, ""end"": 9, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 26, ""end"": 34, ""cms"": null}, {""text"": ""2009"", ""type"": ""DATE"", ""start"": 38, ""end"": 42, ""cms"": null}, {""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 88, ""end"": 95, ""cms"": null}, {""text"": ""Rio"", ""type"": ""GPE"", ""start"": 108, ""end"": 111, ""cms"": null}, {""text"": ""Eduardo Paes"", ""type"": ""PERSON"", ""start"": 118, ""end"": 130, ""cms"": null}]"	36
