	sentence	named_entity	rank
0	Despite the looming World Cup and Olympics, constitutional reform and powerful drug lords have kept redevelopment of Rio’s squatter settlements at bay – but the price is poverty and anarchy  	"[{""text"": ""World Cup"", ""type"": ""EVENT"", ""start"": 20, ""end"": 29, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 34, ""end"": 42, ""cms"": null}, {""text"": ""Rio"", ""type"": ""GPE"", ""start"": 117, ""end"": 120, ""cms"": null}]"	246
1	The granite hump of Providencia gazes down like a stern guardian on the old port of Rio de Janeiro.	"[{""text"": ""Providencia"", ""type"": ""FAC"", ""start"": 20, ""end"": 31, ""cms"": null}, {""text"": ""Rio de Janeiro"", ""type"": ""GPE"", ""start"": 84, ""end"": 98, ""cms"": null}]"	246
2	It offers probably the finest viewpoint over any city I know.	[]	246
3	Rio’s great bay stretches inland to distant mountains.	"[{""text"": ""Rio"", ""type"": ""GPE"", ""start"": 0, ""end"": 3, ""cms"": null}]"	246
4	Below lies what was once the world’s third largest port, now mostly silent.	"[{""text"": ""third"", ""type"": ""ORDINAL"", ""start"": 37, ""end"": 42, ""cms"": null}]"	246
5	Along the coast a parade of beach resorts march to the foot of Sugar Loaf Mountain, with Copacabana and Ipanema hiding beyond.	"[{""text"": ""Sugar Loaf Mountain"", ""type"": ""LOC"", ""start"": 63, ""end"": 82, ""cms"": null}, {""text"": ""Copacabana"", ""type"": ""GPE"", ""start"": 89, ""end"": 99, ""cms"": null}, {""text"": ""Ipanema"", ""type"": ""FAC"", ""start"": 104, ""end"": 111, ""cms"": null}]"	246
6	Over them all towers a range of steep rain-forested hills, crowned by the art deco beacon of Christ the Redeemer.	[]	246
7	The sight is breath-taking.	[]	246
8	   I was admiring this view from the top of the hill when I felt a hand tugging at my belt.	[]	246
9	In this city of muggers, and eager to avoid a scene, I moved quickly along the handrail, only to be alarmed when the hand came and resumed its grasp.	[]	246
10	I then noticed it belonged to a blind boy with severe disabilities.	[]	246
11	I had been blocking his only route home.	[]	246
12	It was a wretched scene amid that firmament of wonder.	[]	246
13	 In most cities, Providencia would be a Montmartre or Nob Hill, a luxury retreat above the city smoke.	"[{""text"": ""Providencia"", ""type"": ""GPE"", ""start"": 17, ""end"": 28, ""cms"": null}, {""text"": ""Montmartre"", ""type"": ""LOC"", ""start"": 40, ""end"": 50, ""cms"": null}, {""text"": ""Nob Hill"", ""type"": ""LOC"", ""start"": 54, ""end"": 62, ""cms"": null}]"	246
