	entity_ner_class	count	ner_class	entity_name
0	London,GPE	2127	London	GPE
3	Games,EVENT	1610	Games	EVENT
79	Olympics,EVENT	1232	Olympics	EVENT
5	Olympic,EVENT	1035	Olympic	EVENT
6	2012,DATE	852	2012	DATE
716	West Ham,ORG	603	West Ham	ORG
60	one,CARDINAL	501	one	CARDINAL
99	first,ORDINAL	470	first	ORDINAL
84	Britain,GPE	444	Britain	GPE
320	London 2012,EVENT	430	London 2012	EVENT
4	two,CARDINAL	333	two	CARDINAL
100	British,NORP	333	British	NORP
16	Coe,PERSON	318	Coe	PERSON
103	UK,GPE	312	UK	GPE
214	m,MONEY	294	m	MONEY
102	Stratford,GPE	288	Stratford	GPE
717	the Olympic Stadium,FAC	285	the Olympic Stadium	FAC
157	the Olympic Park,FAC	272	the Olympic Park	FAC
453	Sport England,ORG	222	Sport England	ORG
325	England,GPE	207	England	GPE
988	Tottenham,ORG	200	Tottenham	ORG
1956	LLDC,ORG	195	LLDC	ORG
460	Boris Johnson,PERSON	192	Boris Johnson	PERSON
591	Johnson,PERSON	176	Johnson	PERSON
846	three,CARDINAL	168	three	CARDINAL
756	OPLC,ORG	167	OPLC	ORG
139	today,DATE	138	today	DATE
524	Newham,GPE	137	Newham	GPE
69	five,CARDINAL	129	five	CARDINAL
1001	Spurs,ORG	128	Spurs	ORG
46	2005,DATE	127	2005	DATE
554	One,CARDINAL	125	One	CARDINAL
104	four,CARDINAL	120	four	CARDINAL
18	IOC,ORG	118	IOC	ORG
98	BBC,ORG	114	BBC	ORG
141	Londoners,NORP	109	Londoners	NORP
507	Beijing,GPE	108	Beijing	GPE
502	second,ORDINAL	108	second	ORDINAL
652	Paralympics,EVENT	98	Paralympics	EVENT
776	Labour,ORG	98	Labour	ORG
727	Locog,ORG	97	Locog	ORG
733	Olympic Stadium,FAC	96	Olympic Stadium	FAC
1021	David Cameron,PERSON	96	David Cameron	PERSON
72	Olympic,ORG	95	Olympic	ORG
355	Labour,NORP	93	Labour	NORP
1741	Team GB,ORG	92	Team GB	ORG
263	last year,DATE	91	last year	DATE
322	the London Olympics,EVENT	91	the London Olympics	EVENT
943	UK Sport,ORG	91	UK Sport	ORG
671	Government,ORG	89	Government	ORG
348	thousands,CARDINAL	87	thousands	CARDINAL
743	West Ham's,ORG	87	West Ham's	ORG
156	the Olympic Games,EVENT	86	the Olympic Games	EVENT
266	ODA,ORG	84	ODA	ORG
722	Premier League,ORG	83	Premier League	ORG
1155	this week,DATE	83	this week	DATE
193	Park,FAC	82	Park	FAC
1873	the London Legacy Development Corporation,ORG	82	the London Legacy Development Corporation	ORG
849	2016,DATE	82	2016	DATE
42	Olympic Park,FAC	81	Olympic Park	FAC
58	2010,DATE	80	2010	DATE
896	half,CARDINAL	78	half	CARDINAL
642	Wales,GPE	78	Wales	GPE
974	annual,DATE	76	annual	DATE
1187	West Ham United,ORG	74	West Ham United	ORG
24	Tessa Jowell,PERSON	73	Tessa Jowell	PERSON
22	Olympic Games,EVENT	73	Olympic Games	EVENT
174	the International Olympic Committee,ORG	73	the International Olympic Committee	ORG
3111	Mo Farah,PERSON	69	Mo Farah	PERSON
945	Robertson,PERSON	69	Robertson	PERSON
2315	World Cup,EVENT	67	World Cup	EVENT
1002	2015,DATE	66	2015	DATE
726	the Olympic Park Legacy Company,ORG	65	the Olympic Park Legacy Company	ORG
467	last week,DATE	64	last week	DATE
723	Upton Park,FAC	64	Upton Park	FAC
1263	Leyton Orient,ORG	64	Leyton Orient	ORG
1333	the Queen Elizabeth Olympic Park,FAC	64	the Queen Elizabeth Olympic Park	FAC
928	Hugh Robertson,PERSON	64	Hugh Robertson	PERSON
805	Newham Council,ORG	64	Newham Council	ORG
857	the London Games,EVENT	63	the London Games	EVENT
1204	Jessica Ennis,PERSON	63	Jessica Ennis	PERSON
35	2008,DATE	63	2008	DATE
628	third,ORDINAL	61	third	ORDINAL
43	Manchester,GPE	60	Manchester	GPE
611	Athens,GPE	60	Athens	GPE
338	Olympic,FAC	60	Olympic	FAC
905	six,CARDINAL	59	six	CARDINAL
438	UK Athletics,ORG	58	UK Athletics	ORG
794	Europe,LOC	58	Europe	LOC
317	Friday,DATE	58	Friday	DATE
949	2013,DATE	57	2013	DATE
175	Singapore,GPE	57	Singapore	GPE
1007	yesterday,DATE	57	yesterday	DATE
1610	Cameron,PERSON	56	Cameron	PERSON
1065	2004,DATE	56	2004	DATE
282	10,CARDINAL	56	10	CARDINAL
356	China,GPE	56	China	GPE
856	AEG,ORG	56	AEG	ORG
1053	Michael Gove,PERSON	55	Michael Gove	PERSON
873	60,000,CARDINAL	54	60,000	CARDINAL
71	Barcelona,GPE	54	Barcelona	GPE
3510	Guardian,ORG	53	Guardian	ORG
417	Jowell,PERSON	52	Jowell	PERSON
1032	BOA,ORG	52	BOA	ORG
1134	2017,DATE	52	2017	DATE
160	Sydney,GPE	52	Sydney	GPE
1478	2014,DATE	51	2014	DATE
2950	this year,DATE	51	this year	DATE
2528	Sheffield,GPE	50	Sheffield	GPE
748	Arsenal,ORG	50	Arsenal	ORG
352	millions,CARDINAL	50	millions	CARDINAL
401	Boris,PERSON	49	Boris	PERSON
732	80,000,CARDINAL	49	80,000	CARDINAL
1456	Conservative,NORP	48	Conservative	NORP
295	Hackney,GPE	48	Hackney	GPE
3616	25,000,CARDINAL	47	25,000	CARDINAL
1685	Australia,GPE	46	Australia	GPE
734	East London,GPE	46	East London	GPE
132	years,DATE	46	years	DATE
13	Sebastian Coe,PERSON	45	Sebastian Coe	PERSON
449	next year,DATE	44	next year	DATE
983	Newham,ORG	44	Newham	ORG
4129	West Ham’s,ORG	43	West Ham’s	ORG
1125	Usain Bolt,PERSON	43	Usain Bolt	PERSON
4502	Brady,PERSON	43	Brady	PERSON
63	American,NORP	43	American	NORP
2642	post-2012,DATE	43	post-2012	DATE
2260	East Village,LOC	42	East Village	LOC
142	Ken Livingstone,PERSON	42	Ken Livingstone	PERSON
1034	English,NORP	41	English	NORP
1081	2009,DATE	40	2009	DATE
985	Karren Brady,PERSON	40	Karren Brady	PERSON
265	the Olympic Delivery Authority,ORG	40	the Olympic Delivery Authority	ORG
307	Sunday,DATE	40	Sunday	DATE
486	Crystal Palace,FAC	40	Crystal Palace	FAC
839	pre-2012,DATE	40	pre-2012	DATE
2043	Rio,GPE	39	Rio	GPE
2416	Tory,NORP	39	Tory	NORP
6118	Bolt,PERSON	39	Bolt	PERSON
